nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay
model_resnet-4_2_cycle.pt,resnet,39.5,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_3_cycle.pt,resnet,46.5,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_4_cycle.pt,resnet,46.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_5_cycle.pt,resnet,48.5,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_6_cycle.pt,resnet,49.5,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_7_cycle.pt,resnet,53.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_8_cycle.pt,resnet,48.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_9_cycle.pt,resnet,52.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
model_resnet-4_10_cycle.pt,resnet,48.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05

model_resnet-5_1_cycle.pt,resnet,33.5,1480.25,40,3,260,6,1.1546660997289675,1.1802123259711665,0.2892393260664277,0.4749645240734591,0.0004944926464827369,0.00012165056199665383
model_resnet-5_2_cycle.pt,resnet,35.5,1480.25,40,3,260,6,1.1546660997289675,1.1802123259711665,0.2892393260664277,0.4749645240734591,0.0004944926464827369,0.00012165056199665383
model_resnet-5_3_cycle.pt,resnet,43.0,1480.25,40,3,260,6,1.1546660997289675,1.1802123259711665,0.2892393260664277,0.4749645240734591,0.0004944926464827369,0.00012165056199665383
model_resnet-5_4_cycle.pt,resnet,47.5,1480.25,40,3,260,6,1.1546660997289675,1.1802123259711665,0.2892393260664277,0.4749645240734591,0.0004944926464827369,0.00012165056199665383

model_resnet-6_1_cycle.pt,resnet,39.0,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_2_cycle.pt,resnet,42.5,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_3_cycle.pt,resnet,40.5,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_4_cycle.pt,resnet,40.5,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_5_cycle.pt,resnet,45.0,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_6_cycle.pt,resnet,47.0,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_7_cycle.pt,resnet,47.5,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_8_cycle.pt,resnet,42.5,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535
model_resnet-6_9_cycle.pt,resnet,44.0,571.3333333333334,22,5,139,2,1.7587711581541758,0.8809008130716589,0.2540436762725099,0.3366181935880971,1.97723260588227e-06,0.0005498264920436535


model_resnet-7_1_cycle.pt,resnet,67.5,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_2_cycle.pt,resnet,59.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_3_cycle.pt,resnet,61.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_4_cycle.pt,resnet,45.5,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_5_cycle.pt,resnet,55.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_6_cycle.pt,resnet,47.5,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_7_cycle.pt,resnet,29.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_8_cycle.pt,resnet,41.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_9_cycle.pt,resnet,40.0,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035
model_resnet-7_10_cycle.pt,resnet,45.5,155.94,26,3,319,1,1.24,0.945,0.42,0.46,3e-05,0.00035

model_resnet-8_1_cycle.pt,resnet,52.5,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035
model_resnet-8_2_cycle.pt,resnet,48.5,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035
